Country,Region,Locality,Latitude,Longitude,Source of information
Canada,Ontario,"Canada:Ontario, Point Pelee, Point Pelee National Park",41.68,-82.68,GBIF 2020
Canada,Ontario,"Point Pelee NP|15km SE of Leamington|West Beach Shoreline and Brush, Lake Erie",41.93,-82.51,GBIF 2020
Canada,Ontario,"Wheatley Prov. Pk., Old Sewage Lagoon",42.09028,-82.45167,GBIF 2020
Canada,Ontario,"La Salle, Brunet Pk., Seventh St. hill",42.24056,-83.04389,GBIF 2020
Canada,Ontario,"Windsor, CFIA ash wood disposal site",42.26225,-83.09361,GBIF 2020
Canada,Ontario,"Windsor, Broadway Pk., ball diamond",42.27139,-83.08556,GBIF 2020
Canada,Ontario,,42.286817,-81.856384,GBIF 2020
Canada,Ontario,"Essex, Windsor",42.302,-82.994,GBIF 2020
Canada,Ontario,"Windsor, Broadway Pk. & Black Oak Savannah Pk",42.30278,-82.99306,GBIF 2020
Canada,Ontario,"Windsor, Broadway Pk.",42.30278,-82.99306,GBIF 2020
Canada,Ontario,,42.634738,-80.809712,GBIF 2020
Canada,Ontario,"Front Rd. ~900 m SW of Turkey Point Rd., C.C.S.N.-13",42.69508,-80.3452,GBIF 2020
Canada,Ontario,"Gibson Rd. ~550 m NW of Front Rd., C.C.S.N.-12",42.69988,-80.3463,GBIF 2020
Canada,Ontario,"Charlotteville 1 Rd. ~1.2 km SW of Turkey Point Rd., C.C.S.N.-6",42.70452,-80.35848,GBIF 2020
Canada,Ontario,"Charlotteville 1 Rd. ~800 m SW Turkey Point Rd., C.C.S.N.-11",42.70725,-80.35435,GBIF 2020
Canada,Ontario,"Charlotte 2 Rd. ~480 m E of Charlotteville West Quarterline Rd., C.C.S.N.-5",42.70758,-80.38827,GBIF 2020
Canada,Ontario,"Charlotte 2 Rd. ~1.2 km W of Turkey Point Rd., C.C.S.N.-3",42.71732,-80.36697,GBIF 2020
Canada,Ontario,"Normandale Fish Hatchery Station, C.C.S.N.-7",42.71855,-80.33985,GBIF 2020
Canada,Ontario,"Turkey Point Rd. ~250 m S of Charlotte 2 Rd., C.C.S.N.-4",42.7202,-80.35282,GBIF 2020
Canada,Ontario,"Charlotte 2 Rd. ~290 m W of Turkey Point Rd., C.C.S.N.-2",42.72085,-80.35793,GBIF 2020
Canada,Ontario,"Charlotteville 2 Rd., ~1.9 km NE of Turkey Point Rd., C.C.S.N.-9",42.73102,-80.3342,GBIF 2020
