Country,Region,Locality,time,temperature,Latitude,Longitude,nearest_lat,nearest_lon
Canada,Manitoba,Winnipeg,2004-01-04,-30.188614,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2004-01-05,-32.513092,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2004-01-29,-34.694,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2004-01-30,-37.751877,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2004-01-31,-32.703568,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2004-12-23,-31.714615,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2005-01-05,-33.67906,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2005-01-15,-32.357513,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2005-01-16,-33.967255,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2005-01-17,-35.52487,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2007-01-15,-31.07692,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2007-02-04,-31.932419,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2007-02-05,-32.886627,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2008-01-20,-30.438034,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2008-02-20,-30.663605,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2009-01-05,-31.70816,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2009-01-13,-32.251144,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2009-01-14,-32.214066,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2009-01-15,-31.276093,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2013-01-22,-31.276764,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2013-02-01,-31.016144,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2013-12-29,-31.394821,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2013-12-30,-32.423203,49.913721,-97.197488,50.0,-97.0
Canada,Manitoba,Winnipeg,2013-12-31,-33.26796,49.913721,-97.197488,50.0,-97.0
